 Blacksmith  Scene,'Comedy'|  'Short'|1800's|short|less  than  5  minutes,The  Great  Train  Robbery,'Short'|  'short',Distributing  a  War  Extra,"'Short'|  ""1800's""|  'short'|  'less  than  5  minutes' "
 Corbett  and  Courtney  Before  the  Kinetograph,'Short'|  'Sport'|1800's|short|less  than  5  minutes,Was  Justice  Served?,'Short'|  'short',Edison  Kinetoscopic  Record  of  a  Sneeze,"'Short'|  ""1800's""|  'short'|  'less  than  5  minutes' "
 Edison  Kinetoscopic  Record  of  a  Sneeze,'Documentary'|  'Short'|1800's|short|less  than  5  minutes,Buffalo  Bill's  Wild  West  Show,'Short'|  'short'|  'less  than  5  minutes',Leaving  the  Factory,"'Short'|  'Documentary'|  ""1800's""|  'short'|  'less  than  5  minutes' "
 Leaving  the  Factory,'Documentary'|  'Short'|1800's|short|less  than  5  minutes,The  Enchanted  Drawing,'short'|  'less  than  5  minutes',The  Arrival  of  a  Train,"'Short'|  'Documentary'|  ""1800's""|  'short'|  'less  than  5  minutes' "
 Akrobatisches  Potpourri,'Documentary'|  'Short'|1800's|short|less  than  5  minutes,The  Red  Inn,,Corbett  and  Courtney  Before  the  Kinetograph,"'Short'|  ""1800's""|  'short'|  'less  than  5  minutes' "
 The  Arrival  of  a  Train,'Documentary'|  'Short'|1800's|short|less  than  5  minutes,Panorama  of  Riker's  Island    N.Y.,'Short'|  'Documentary'|  'short'|  'less  than  5  minutes',The  Waterer  Watered,"'Short'|  ""1800's""|  'short'|  'less  than  5  minutes' "
 The  Photographical  Congress  Arrives  in  Lyon,'Documentary'|  'Short'|1800's|short|less  than  5  minutes,The  Suffragettes  and  the  Hobble  Skirt,'Short'|  'short',Akrobatisches  Potpourri,"'Short'|  'Documentary'|  ""1800's""|  'short'|  'less  than  5  minutes' "
 The  Waterer  Watered,'Comedy'|  'Short'|1800's|short|less  than  5  minutes,The  Ugly  Duckling,'Short'|  'Comedy'|  'short',Horse  Trick  Riders,"'Short'|  'Comedy'|  ""1800's""|  'short'|  'less  than  5  minutes' "
 Boat  Leaving  the  Port,'Documentary'|  'Short'|1800's|short|less  than  5  minutes,The  Mysterious  Paper,"'Short'|  ""1800's""|  'short'|  'less  than  5  minutes'",The  Photographical  Congress  Arrives  in  Lyon,"'Short'|  'Documentary'|  ""1800's""|  'short'|  'less  than  5  minutes' "
 The  Clown  Barber,'Comedy'|  'Short'|1800's|short|less  than  5  minutes,The  Devil's  Money  Bags,'Comedy'|  'short'|  'less  than  5  minutes',Boat  Leaving  the  Port,"'Short'|  ""1800's""|  'short'|  'less  than  5  minutes' "
 The  Derby  1895,'Documentary'|  'Short'|  'Sport'|1800's|short|less  than  5  minutes,The  Breaker,,Leaving  the  Factory,"'Short'|  'Documentary'|  ""1800's""|  'short'|  'less  than  5  minutes' "
 Blacksmith  Scene,'Documentary'|  'Short'|1800's|short|less  than  5  minutes,The  Love  Gamble,,The  Clown  Barber,"'Short'|  ""1800's""|  'short'|  'less  than  5  minutes' "
 The  Sea,'Documentary'|  'Short'|1800's|short|less  than  5  minutes,The  King's  Messenger,'Short'|  'short',Edison  Kinetoscopic  Record  of  a  Sneeze,"'Short'|  'Documentary'|  ""1800's""|  'short'|  'less  than  5  minutes' "
 Opening  of  the  Kiel  Canal,'News'|  'Short'|1800's|short|less  than  5  minutes,The  Great  Train  Robbery,'Short'|  'short',The  Derby  1895,"'Short'|  ""1800's""|  'short'|  'less  than  5  minutes' "
 The  Oxford  and  Cambridge  University  Boat  Race,'News'|  'Short'|  'Sport'|1800's|short|less  than  5  minutes,Sherlock  Holmes  VI,,Blacksmith  Scene,"'Short'|  ""1800's""|  'short'|  'less  than  5  minutes' "
 Fishing  for  Goldfish,'Documentary'|  'Short'|1800's|short|less  than  5  minutes,The  Wooing  and  Wedding  of  a  Coon,'Short'|  'short',Blacksmith  Scene,"'Short'|  'Documentary'|  ""1800's""|  'short'|  'less  than  5  minutes' "
 Baby's  Meal,'Documentary'|  'Short'|1800's|short|less  than  5  minutes,A  Maid  of  the  Mountains,'Short'|  'short',The  Sea,"'Short'|  'Documentary'|  ""1800's""|  'short'|  'less  than  5  minutes' "
 Rough  Sea  at  Dover,'Documentary'|  'Short'|1800's|short|less  than  5  minutes,The  Stage  Rustler,'Short'|  'short',Fishing  for  Goldfish,"'Short'|  'Documentary'|  ""1800's""|  'short'|  'less  than  5  minutes' "
 Jumping  the  Blanket,'Documentary'|  'Short'|1800's|short|less  than  5  minutes,The  Call  to  Arms,'Short'|  'short',Opening  of  the  Kiel  Canal,"'Short'|  ""1800's""|  'short'|  'less  than  5  minutes' "
 Horse  Trick  Riders,'Comedy'|  'Documentary'|  'Short'|1800's|short|less  than  5  minutes,The  Waterer  Watered,"'Short'|  'Comedy'|  ""1800's""|  'short'|  'less  than  5  minutes'",Demolition  of  a  Wall,"'Short'|  'Documentary'|  ""1800's""|  'short'|  'less  than  5  minutes' "
 Watering  the  Flowers,'Comedy'|  'Short'|1800's|short|less  than  5  minutes,The  Mutiny  of  the  Elsinore,,The  Arrival  of  a  Train,"'Short'|  ""1800's""|  'short'|  'less  than  5  minutes' "
 Sea  Bathing,'Short'|1800's|short|less  than  5  minutes,How  It  Feels  to  Be  Run  Over,'Short'|  'short'|  'less  than  5  minutes',Baby's  Meal,"'Short'|  ""1800's""|  'short'|  'less  than  5  minutes' "
